description;refEquipement;etapeacv;critere;consoElecMoyenne;valeur;source;type
Laptop - Entry-level	Latitude 3310 2-in-1 Business Laptop	13inch LCD, 8GB RAM, 256 GB SSD TLC  2,5'', 1 CPU Intel Core i3-1000G1, 1 integrated graphics card Intel UHD Graphics 630;ordinateur-portable-1;FABRICATION;Climate change;26;160;Resilio;
Laptop - Entry-level	Latitude 3310 2-in-1 Business Laptop	13inch LCD, 8GB RAM, 256 GB SSD TLC  2,5'', 1 CPU Intel Core i3-1000G1, 1 integrated graphics card Intel UHD Graphics 630;ordinateur-portable-1;FABRICATION;Resource use (minerals and metals);26;0.0846240141247186;Resilio;
Laptop - Entry-level	Latitude 3310 2-in-1 Business Laptop	13inch LCD, 8GB RAM, 256 GB SSD TLC  2,5'', 1 CPU Intel Core i3-1000G1, 1 integrated graphics card Intel UHD Graphics 630;ordinateur-portable-1;FABRICATION;Acidification;26;1.33;Resilio;
Laptop - Entry-level	Latitude 3310 2-in-1 Business Laptop	13inch LCD, 8GB RAM, 256 GB SSD TLC  2,5'', 1 CPU Intel Core i3-1000G1, 1 integrated graphics card Intel UHD Graphics 630;ordinateur-portable-1;FABRICATION;Ionising radiation;26;85.7;Resilio;
Laptop - Entry-level	Latitude 3310 2-in-1 Business Laptop	13inch LCD, 8GB RAM, 256 GB SSD TLC  2,5'', 1 CPU Intel Core i3-1000G1, 1 integrated graphics card Intel UHD Graphics 630;ordinateur-portable-1;FABRICATION;Particulate matter and respiratory inorganics;26;0.00000906;Resilio;
Laptop - Entry-level	Latitude 3310 2-in-1 Business Laptop	13inch LCD, 8GB RAM, 256 GB SSD TLC  2,5'', 1 CPU Intel Core i3-1000G1, 1 integrated graphics card Intel UHD Graphics 630;ordinateur-portable-1;DISTRIBUTION;Climate change;26;10.9;Resilio;
Laptop - Entry-level	Latitude 3310 2-in-1 Business Laptop	13inch LCD, 8GB RAM, 256 GB SSD TLC  2,5'', 1 CPU Intel Core i3-1000G1, 1 integrated graphics card Intel UHD Graphics 630;ordinateur-portable-1;DISTRIBUTION;Resource use (minerals and metals);26;4.26695674064593E-07;Resilio;
Laptop - Entry-level	Latitude 3310 2-in-1 Business Laptop	13inch LCD, 8GB RAM, 256 GB SSD TLC  2,5'', 1 CPU Intel Core i3-1000G1, 1 integrated graphics card Intel UHD Graphics 630;ordinateur-portable-1;DISTRIBUTION;Acidification;26;0.0551;Resilio;
Laptop - Entry-level	Latitude 3310 2-in-1 Business Laptop	13inch LCD, 8GB RAM, 256 GB SSD TLC  2,5'', 1 CPU Intel Core i3-1000G1, 1 integrated graphics card Intel UHD Graphics 630;ordinateur-portable-1;DISTRIBUTION;Ionising radiation;26;0.0297;Resilio;
Laptop - Entry-level	Latitude 3310 2-in-1 Business Laptop	13inch LCD, 8GB RAM, 256 GB SSD TLC  2,5'', 1 CPU Intel Core i3-1000G1, 1 integrated graphics card Intel UHD Graphics 630;ordinateur-portable-1;DISTRIBUTION;Particulate matter and respiratory inorganics;26;0.000000332;Resilio;
Laptop - Entry-level	Latitude 3310 2-in-1 Business Laptop	13inch LCD, 8GB RAM, 256 GB SSD TLC  2,5'', 1 CPU Intel Core i3-1000G1, 1 integrated graphics card Intel UHD Graphics 630;ordinateur-portable-1;UTILISATION;Climate change;26;;Resilio;
Laptop - Entry-level	Latitude 3310 2-in-1 Business Laptop	13inch LCD, 8GB RAM, 256 GB SSD TLC  2,5'', 1 CPU Intel Core i3-1000G1, 1 integrated graphics card Intel UHD Graphics 630;ordinateur-portable-1;UTILISATION;Resource use (minerals and metals);26;;Resilio;
Laptop - Entry-level	Latitude 3310 2-in-1 Business Laptop	13inch LCD, 8GB RAM, 256 GB SSD TLC  2,5'', 1 CPU Intel Core i3-1000G1, 1 integrated graphics card Intel UHD Graphics 630;ordinateur-portable-1;UTILISATION;Acidification;26;;Resilio;
Laptop - Entry-level	Latitude 3310 2-in-1 Business Laptop	13inch LCD, 8GB RAM, 256 GB SSD TLC  2,5'', 1 CPU Intel Core i3-1000G1, 1 integrated graphics card Intel UHD Graphics 630;ordinateur-portable-1;UTILISATION;Ionising radiation;26;;Resilio;
Laptop - Entry-level	Latitude 3310 2-in-1 Business Laptop	13inch LCD, 8GB RAM, 256 GB SSD TLC  2,5'', 1 CPU Intel Core i3-1000G1, 1 integrated graphics card Intel UHD Graphics 630;ordinateur-portable-1;UTILISATION;Particulate matter and respiratory inorganics;26;;Resilio;
Laptop - Entry-level	Latitude 3310 2-in-1 Business Laptop	13inch LCD, 8GB RAM, 256 GB SSD TLC  2,5'', 1 CPU Intel Core i3-1000G1, 1 integrated graphics card Intel UHD Graphics 630;ordinateur-portable-1;FIN_DE_VIE;Climate change;26;3.51;Resilio;
Laptop - Entry-level	Latitude 3310 2-in-1 Business Laptop	13inch LCD, 8GB RAM, 256 GB SSD TLC  2,5'', 1 CPU Intel Core i3-1000G1, 1 integrated graphics card Intel UHD Graphics 630;ordinateur-portable-1;FIN_DE_VIE;Resource use (minerals and metals);26;0.0000110857905111763;Resilio;
Laptop - Entry-level	Latitude 3310 2-in-1 Business Laptop	13inch LCD, 8GB RAM, 256 GB SSD TLC  2,5'', 1 CPU Intel Core i3-1000G1, 1 integrated graphics card Intel UHD Graphics 630;ordinateur-portable-1;FIN_DE_VIE;Acidification;26;0.0434;Resilio;
Laptop - Entry-level	Latitude 3310 2-in-1 Business Laptop	13inch LCD, 8GB RAM, 256 GB SSD TLC  2,5'', 1 CPU Intel Core i3-1000G1, 1 integrated graphics card Intel UHD Graphics 630;ordinateur-portable-1;FIN_DE_VIE;Ionising radiation;26;0.271;Resilio;
Laptop - Entry-level	Latitude 3310 2-in-1 Business Laptop	13inch LCD, 8GB RAM, 256 GB SSD TLC  2,5'', 1 CPU Intel Core i3-1000G1, 1 integrated graphics card Intel UHD Graphics 630;ordinateur-portable-1;FIN_DE_VIE;Particulate matter and respiratory inorganics;26;0.000000177;Resilio;
Laptop - High-End LENOVO-IDEA IdeaPad 1 15ALC7 15inch LCD, 16GB RAM, 1TB SSD TLC  2,5'', 1 CPU AMD Ryzen 5 5500U, 1 integrated graphics card Mobility Radeon 9000 IGP;ordinateur-portable-2;FABRICATION;Climate change;34;253;Resilio;
Laptop - High-End LENOVO-IDEA IdeaPad 1 15ALC7 15inch LCD, 16GB RAM, 1TB SSD TLC  2,5'', 1 CPU AMD Ryzen 5 5500U, 1 integrated graphics card Mobility Radeon 9000 IGP;ordinateur-portable-2;FABRICATION;Resource use (minerals and metals);34;0.0849;Resilio;
Laptop - High-End LENOVO-IDEA IdeaPad 1 15ALC7 15inch LCD, 16GB RAM, 1TB SSD TLC  2,5'', 1 CPU AMD Ryzen 5 5500U, 1 integrated graphics card Mobility Radeon 9000 IGP;ordinateur-portable-2;FABRICATION;Acidification;34;1.85;Resilio;
Laptop - High-End LENOVO-IDEA IdeaPad 1 15ALC7 15inch LCD, 16GB RAM, 1TB SSD TLC  2,5'', 1 CPU AMD Ryzen 5 5500U, 1 integrated graphics card Mobility Radeon 9000 IGP;ordinateur-portable-2;FABRICATION;Ionising radiation;34;88.9;Resilio;
Laptop - High-End LENOVO-IDEA IdeaPad 1 15ALC7 15inch LCD, 16GB RAM, 1TB SSD TLC  2,5'', 1 CPU AMD Ryzen 5 5500U, 1 integrated graphics card Mobility Radeon 9000 IGP;ordinateur-portable-2;FABRICATION;Particulate matter and respiratory inorganics;34;0.0000119;Resilio;
Laptop - High-End LENOVO-IDEA IdeaPad 1 15ALC7 15inch LCD, 16GB RAM, 1TB SSD TLC  2,5'', 1 CPU AMD Ryzen 5 5500U, 1 integrated graphics card Mobility Radeon 9000 IGP;ordinateur-portable-2;DISTRIBUTION;Climate change;34;11;Resilio;
Laptop - High-End LENOVO-IDEA IdeaPad 1 15ALC7 15inch LCD, 16GB RAM, 1TB SSD TLC  2,5'', 1 CPU AMD Ryzen 5 5500U, 1 integrated graphics card Mobility Radeon 9000 IGP;ordinateur-portable-2;DISTRIBUTION;Resource use (minerals and metals);34;0.000000433;Resilio;
Laptop - High-End LENOVO-IDEA IdeaPad 1 15ALC7 15inch LCD, 16GB RAM, 1TB SSD TLC  2,5'', 1 CPU AMD Ryzen 5 5500U, 1 integrated graphics card Mobility Radeon 9000 IGP;ordinateur-portable-2;DISTRIBUTION;Acidification;34;0.0559;Resilio;
Laptop - High-End LENOVO-IDEA IdeaPad 1 15ALC7 15inch LCD, 16GB RAM, 1TB SSD TLC  2,5'', 1 CPU AMD Ryzen 5 5500U, 1 integrated graphics card Mobility Radeon 9000 IGP;ordinateur-portable-2;DISTRIBUTION;Ionising radiation;34;0.0297;Resilio;
Laptop - High-End LENOVO-IDEA IdeaPad 1 15ALC7 15inch LCD, 16GB RAM, 1TB SSD TLC  2,5'', 1 CPU AMD Ryzen 5 5500U, 1 integrated graphics card Mobility Radeon 9000 IGP;ordinateur-portable-2;DISTRIBUTION;Particulate matter and respiratory inorganics;34;0.000000332;Resilio;
Laptop - High-End LENOVO-IDEA IdeaPad 1 15ALC7 15inch LCD, 16GB RAM, 1TB SSD TLC  2,5'', 1 CPU AMD Ryzen 5 5500U, 1 integrated graphics card Mobility Radeon 9000 IGP;ordinateur-portable-2;UTILISATION;Climate change;34;;Resilio;
Laptop - High-End LENOVO-IDEA IdeaPad 1 15ALC7 15inch LCD, 16GB RAM, 1TB SSD TLC  2,5'', 1 CPU AMD Ryzen 5 5500U, 1 integrated graphics card Mobility Radeon 9000 IGP;ordinateur-portable-2;UTILISATION;Resource use (minerals and metals);34;;Resilio;
Laptop - High-End LENOVO-IDEA IdeaPad 1 15ALC7 15inch LCD, 16GB RAM, 1TB SSD TLC  2,5'', 1 CPU AMD Ryzen 5 5500U, 1 integrated graphics card Mobility Radeon 9000 IGP;ordinateur-portable-2;UTILISATION;Acidification;34;;Resilio;
Laptop - High-End LENOVO-IDEA IdeaPad 1 15ALC7 15inch LCD, 16GB RAM, 1TB SSD TLC  2,5'', 1 CPU AMD Ryzen 5 5500U, 1 integrated graphics card Mobility Radeon 9000 IGP;ordinateur-portable-2;UTILISATION;Ionising radiation;34;;Resilio;
Laptop - High-End LENOVO-IDEA IdeaPad 1 15ALC7 15inch LCD, 16GB RAM, 1TB SSD TLC  2,5'', 1 CPU AMD Ryzen 5 5500U, 1 integrated graphics card Mobility Radeon 9000 IGP;ordinateur-portable-2;UTILISATION;Particulate matter and respiratory inorganics;34;;Resilio;
Laptop - High-End LENOVO-IDEA IdeaPad 1 15ALC7 15inch LCD, 16GB RAM, 1TB SSD TLC  2,5'', 1 CPU AMD Ryzen 5 5500U, 1 integrated graphics card Mobility Radeon 9000 IGP;ordinateur-portable-2;FIN_DE_VIE;Climate change;34;3.57;Resilio;
Laptop - High-End LENOVO-IDEA IdeaPad 1 15ALC7 15inch LCD, 16GB RAM, 1TB SSD TLC  2,5'', 1 CPU AMD Ryzen 5 5500U, 1 integrated graphics card Mobility Radeon 9000 IGP;ordinateur-portable-2;FIN_DE_VIE;Resource use (minerals and metals);34;0.0000112;Resilio;
Laptop - High-End LENOVO-IDEA IdeaPad 1 15ALC7 15inch LCD, 16GB RAM, 1TB SSD TLC  2,5'', 1 CPU AMD Ryzen 5 5500U, 1 integrated graphics card Mobility Radeon 9000 IGP;ordinateur-portable-2;FIN_DE_VIE;Acidification;34;0.044;Resilio;
Laptop - High-End LENOVO-IDEA IdeaPad 1 15ALC7 15inch LCD, 16GB RAM, 1TB SSD TLC  2,5'', 1 CPU AMD Ryzen 5 5500U, 1 integrated graphics card Mobility Radeon 9000 IGP;ordinateur-portable-2;FIN_DE_VIE;Ionising radiation;34;0.275;Resilio;
Laptop - High-End LENOVO-IDEA IdeaPad 1 15ALC7 15inch LCD, 16GB RAM, 1TB SSD TLC  2,5'', 1 CPU AMD Ryzen 5 5500U, 1 integrated graphics card Mobility Radeon 9000 IGP;ordinateur-portable-2;FIN_DE_VIE;Particulate matter and respiratory inorganics;34;0.000000179;Resilio;
Desktop Dell Inspiron Desktop 16GB RAM, 1TB HDD, 1 CPU Intel Core i5-750, 1 dedicated graphics card NVIDIA GeForce RTX 4070 Ti;ordinateur-fixe-1;FABRICATION;Climate change;100;508;Resilio;
Desktop Dell Inspiron Desktop 16GB RAM, 1TB HDD, 1 CPU Intel Core i5-750, 1 dedicated graphics card NVIDIA GeForce RTX 4070 Ti;ordinateur-fixe-1;FABRICATION;Resource use (minerals and metals);100;0.0818;Resilio;
Desktop Dell Inspiron Desktop 16GB RAM, 1TB HDD, 1 CPU Intel Core i5-750, 1 dedicated graphics card NVIDIA GeForce RTX 4070 Ti;ordinateur-fixe-1;FABRICATION;Acidification;100;3.54;Resilio;
Desktop Dell Inspiron Desktop 16GB RAM, 1TB HDD, 1 CPU Intel Core i5-750, 1 dedicated graphics card NVIDIA GeForce RTX 4070 Ti;ordinateur-fixe-1;FABRICATION;Ionising radiation;100;4720;Resilio;
Desktop Dell Inspiron Desktop 16GB RAM, 1TB HDD, 1 CPU Intel Core i5-750, 1 dedicated graphics card NVIDIA GeForce RTX 4070 Ti;ordinateur-fixe-1;FABRICATION;Particulate matter and respiratory inorganics;100;0.0000224;Resilio;
Desktop Dell Inspiron Desktop 16GB RAM, 1TB HDD, 1 CPU Intel Core i5-750, 1 dedicated graphics card NVIDIA GeForce RTX 4070 Ti;ordinateur-fixe-1;DISTRIBUTION;Climate change;100;5.67;Resilio;
Desktop Dell Inspiron Desktop 16GB RAM, 1TB HDD, 1 CPU Intel Core i5-750, 1 dedicated graphics card NVIDIA GeForce RTX 4070 Ti;ordinateur-fixe-1;DISTRIBUTION;Resource use (minerals and metals);100;0.000000201;Resilio;
Desktop Dell Inspiron Desktop 16GB RAM, 1TB HDD, 1 CPU Intel Core i5-750, 1 dedicated graphics card NVIDIA GeForce RTX 4070 Ti;ordinateur-fixe-1;DISTRIBUTION;Acidification;100;0.197;Resilio;
Desktop Dell Inspiron Desktop 16GB RAM, 1TB HDD, 1 CPU Intel Core i5-750, 1 dedicated graphics card NVIDIA GeForce RTX 4070 Ti;ordinateur-fixe-1;DISTRIBUTION;Ionising radiation;100;0.0116;Resilio;
Desktop Dell Inspiron Desktop 16GB RAM, 1TB HDD, 1 CPU Intel Core i5-750, 1 dedicated graphics card NVIDIA GeForce RTX 4070 Ti;ordinateur-fixe-1;DISTRIBUTION;Particulate matter and respiratory inorganics;100;0.00000104;Resilio;
Desktop Dell Inspiron Desktop 16GB RAM, 1TB HDD, 1 CPU Intel Core i5-750, 1 dedicated graphics card NVIDIA GeForce RTX 4070 Ti;ordinateur-fixe-1;UTILISATION;Climate change;100;;Resilio;
Desktop Dell Inspiron Desktop 16GB RAM, 1TB HDD, 1 CPU Intel Core i5-750, 1 dedicated graphics card NVIDIA GeForce RTX 4070 Ti;ordinateur-fixe-1;UTILISATION;Resource use (minerals and metals);100;;Resilio;
Desktop Dell Inspiron Desktop 16GB RAM, 1TB HDD, 1 CPU Intel Core i5-750, 1 dedicated graphics card NVIDIA GeForce RTX 4070 Ti;ordinateur-fixe-1;UTILISATION;Acidification;100;;Resilio;
Desktop Dell Inspiron Desktop 16GB RAM, 1TB HDD, 1 CPU Intel Core i5-750, 1 dedicated graphics card NVIDIA GeForce RTX 4070 Ti;ordinateur-fixe-1;UTILISATION;Ionising radiation;100;;Resilio;
Desktop Dell Inspiron Desktop 16GB RAM, 1TB HDD, 1 CPU Intel Core i5-750, 1 dedicated graphics card NVIDIA GeForce RTX 4070 Ti;ordinateur-fixe-1;UTILISATION;Particulate matter and respiratory inorganics;100;;Resilio;
Desktop Dell Inspiron Desktop 16GB RAM, 1TB HDD, 1 CPU Intel Core i5-750, 1 dedicated graphics card NVIDIA GeForce RTX 4070 Ti;ordinateur-fixe-1;FIN_DE_VIE;Climate change;100;17.2;Resilio;
Desktop Dell Inspiron Desktop 16GB RAM, 1TB HDD, 1 CPU Intel Core i5-750, 1 dedicated graphics card NVIDIA GeForce RTX 4070 Ti;ordinateur-fixe-1;FIN_DE_VIE;Resource use (minerals and metals);100;0.000025;Resilio;
Desktop Dell Inspiron Desktop 16GB RAM, 1TB HDD, 1 CPU Intel Core i5-750, 1 dedicated graphics card NVIDIA GeForce RTX 4070 Ti;ordinateur-fixe-1;FIN_DE_VIE;Acidification;100;0.33;Resilio;
Desktop Dell Inspiron Desktop 16GB RAM, 1TB HDD, 1 CPU Intel Core i5-750, 1 dedicated graphics card NVIDIA GeForce RTX 4070 Ti;ordinateur-fixe-1;FIN_DE_VIE;Ionising radiation;100;1.59;Resilio;
Desktop Dell Inspiron Desktop 16GB RAM, 1TB HDD, 1 CPU Intel Core i5-750, 1 dedicated graphics card NVIDIA GeForce RTX 4070 Ti;ordinateur-fixe-1;FIN_DE_VIE;Particulate matter and respiratory inorganics;100;0.000000956;Resilio;
Screen - Entry-level	 Dell SE2422HX Monitor LCD, 24 inch, 16/9;ecran-1;FABRICATION;Climate change;33.61323407;59;Resilio;
Screen - Entry-level	 Dell SE2422HX Monitor LCD, 24 inch, 16/9;ecran-1;FABRICATION;Resource use (minerals and metals);33.61323407;0.0117;Resilio;
Screen - Entry-level	 Dell SE2422HX Monitor LCD, 24 inch, 16/9;ecran-1;FABRICATION;Acidification;33.61323407;0.394;Resilio;
Screen - Entry-level	 Dell SE2422HX Monitor LCD, 24 inch, 16/9;ecran-1;FABRICATION;Ionising radiation;33.61323407;143;Resilio;
Screen - Entry-level	 Dell SE2422HX Monitor LCD, 24 inch, 16/9;ecran-1;FABRICATION;Particulate matter and respiratory inorganics;33.61323407;0.00000247;Resilio;
Screen - Entry-level	 Dell SE2422HX Monitor LCD, 24 inch, 16/9;ecran-1;DISTRIBUTION;Climate change;33.61323407;1.28;Resilio;
Screen - Entry-level	 Dell SE2422HX Monitor LCD, 24 inch, 16/9;ecran-1;DISTRIBUTION;Resource use (minerals and metals);33.61323407;0.0000000452;Resilio;
Screen - Entry-level	 Dell SE2422HX Monitor LCD, 24 inch, 16/9;ecran-1;DISTRIBUTION;Acidification;33.61323407;0.0444;Resilio;
Screen - Entry-level	 Dell SE2422HX Monitor LCD, 24 inch, 16/9;ecran-1;DISTRIBUTION;Ionising radiation;33.61323407;0.00261;Resilio;
Screen - Entry-level	 Dell SE2422HX Monitor LCD, 24 inch, 16/9;ecran-1;DISTRIBUTION;Particulate matter and respiratory inorganics;33.61323407;0.000000233;Resilio;
Screen - Entry-level	 Dell SE2422HX Monitor LCD, 24 inch, 16/9;ecran-1;UTILISATION;Climate change;33.61323407;;Resilio;
Screen - Entry-level	 Dell SE2422HX Monitor LCD, 24 inch, 16/9;ecran-1;UTILISATION;Resource use (minerals and metals);33.61323407;;Resilio;
Screen - Entry-level	 Dell SE2422HX Monitor LCD, 24 inch, 16/9;ecran-1;UTILISATION;Acidification;33.61323407;;Resilio;
Screen - Entry-level	 Dell SE2422HX Monitor LCD, 24 inch, 16/9;ecran-1;UTILISATION;Ionising radiation;33.61323407;;Resilio;
Screen - Entry-level	 Dell SE2422HX Monitor LCD, 24 inch, 16/9;ecran-1;UTILISATION;Particulate matter and respiratory inorganics;33.61323407;;Resilio;
Screen - Entry-level	 Dell SE2422HX Monitor LCD, 24 inch, 16/9;ecran-1;FIN_DE_VIE;Climate change;33.61323407;3.87;Resilio;
Screen - Entry-level	 Dell SE2422HX Monitor LCD, 24 inch, 16/9;ecran-1;FIN_DE_VIE;Resource use (minerals and metals);33.61323407;0.000012;Resilio;
Screen - Entry-level	 Dell SE2422HX Monitor LCD, 24 inch, 16/9;ecran-1;FIN_DE_VIE;Acidification;33.61323407;0.0221;Resilio;
Screen - Entry-level	 Dell SE2422HX Monitor LCD, 24 inch, 16/9;ecran-1;FIN_DE_VIE;Ionising radiation;33.61323407;0.216;Resilio;
Screen - Entry-level	 Dell SE2422HX Monitor LCD, 24 inch, 16/9;ecran-1;FIN_DE_VIE;Particulate matter and respiratory inorganics;33.61323407;0.000000149;Resilio;
Screen - Mid-range Dell 32 4K UHD Monitor - SE3223Q LCD, 32 inch, 16/9;ecran-2;FABRICATION;Climate change;56.09688325;76.8;Resilio;
Screen - Mid-range Dell 32 4K UHD Monitor - SE3223Q LCD, 32 inch, 16/9;ecran-2;FABRICATION;Resource use (minerals and metals);56.09688325;0.0169;Resilio;
Screen - Mid-range Dell 32 4K UHD Monitor - SE3223Q LCD, 32 inch, 16/9;ecran-2;FABRICATION;Acidification;56.09688325;0.515;Resilio;
