description;refEquipement;etapeacv;critere;consoElecMoyenne;valeur;source;type
Screen - Mid-range Dell 32 4K UHD Monitor - SE3223Q LCD, 32 inch, 16/9;ecran-2;FABRICATION;Ionising radiation;56.09688325;191;Resilio;
Screen - Mid-range Dell 32 4K UHD Monitor - SE3223Q LCD, 32 inch, 16/9;ecran-2;FABRICATION;Particulate matter and respiratory inorganics;56.09688325;0.00000312;Resilio;
Screen - Mid-range Dell 32 4K UHD Monitor - SE3223Q LCD, 32 inch, 16/9;ecran-2;DISTRIBUTION;Climate change;56.09688325;2.22;Resilio;
Screen - Mid-range Dell 32 4K UHD Monitor - SE3223Q LCD, 32 inch, 16/9;ecran-2;DISTRIBUTION;Resource use (minerals and metals);56.09688325;0.0000000789;Resilio;
Screen - Mid-range Dell 32 4K UHD Monitor - SE3223Q LCD, 32 inch, 16/9;ecran-2;DISTRIBUTION;Acidification;56.09688325;0.0774;Resilio;
Screen - Mid-range Dell 32 4K UHD Monitor - SE3223Q LCD, 32 inch, 16/9;ecran-2;DISTRIBUTION;Ionising radiation;56.09688325;0.00456;Resilio;
Screen - Mid-range Dell 32 4K UHD Monitor - SE3223Q LCD, 32 inch, 16/9;ecran-2;DISTRIBUTION;Particulate matter and respiratory inorganics;56.09688325;0.000000407;Resilio;
Screen - Mid-range Dell 32 4K UHD Monitor - SE3223Q LCD, 32 inch, 16/9;ecran-2;UTILISATION;Climate change;56.09688325;;Resilio;
Screen - Mid-range Dell 32 4K UHD Monitor - SE3223Q LCD, 32 inch, 16/9;ecran-2;UTILISATION;Resource use (minerals and metals);56.09688325;;Resilio;
Screen - Mid-range Dell 32 4K UHD Monitor - SE3223Q LCD, 32 inch, 16/9;ecran-2;UTILISATION;Acidification;56.09688325;;Resilio;
Screen - Mid-range Dell 32 4K UHD Monitor - SE3223Q LCD, 32 inch, 16/9;ecran-2;UTILISATION;Ionising radiation;56.09688325;;Resilio;
Screen - Mid-range Dell 32 4K UHD Monitor - SE3223Q LCD, 32 inch, 16/9;ecran-2;UTILISATION;Particulate matter and respiratory inorganics;56.09688325;;Resilio;
Screen - Mid-range Dell 32 4K UHD Monitor - SE3223Q LCD, 32 inch, 16/9;ecran-2;FIN_DE_VIE;Climate change;56.09688325;6.88;Resilio;
Screen - Mid-range Dell 32 4K UHD Monitor - SE3223Q LCD, 32 inch, 16/9;ecran-2;FIN_DE_VIE;Resource use (minerals and metals);56.09688325;0.0000213;Resilio;
Screen - Mid-range Dell 32 4K UHD Monitor - SE3223Q LCD, 32 inch, 16/9;ecran-2;FIN_DE_VIE;Acidification;56.09688325;0.0393;Resilio;
Screen - Mid-range Dell 32 4K UHD Monitor - SE3223Q LCD, 32 inch, 16/9;ecran-2;FIN_DE_VIE;Ionising radiation;56.09688325;0.384;Resilio;
Screen - Mid-range Dell 32 4K UHD Monitor - SE3223Q LCD, 32 inch, 16/9;ecran-2;FIN_DE_VIE;Particulate matter and respiratory inorganics;56.09688325;0.000000265;Resilio;
Screen - High-end ProLite LE5041UHS-B1 OLED, 50 inch, 16/9;ecran-3;FABRICATION;Climate change;124.1642372;711;Resilio;
Screen - High-end ProLite LE5041UHS-B1 OLED, 50 inch, 16/9;ecran-3;FABRICATION;Resource use (minerals and metals);124.1642372;0.0117;Resilio;
Screen - High-end ProLite LE5041UHS-B1 OLED, 50 inch, 16/9;ecran-3;FABRICATION;Acidification;124.1642372;3.21;Resilio;
Screen - High-end ProLite LE5041UHS-B1 OLED, 50 inch, 16/9;ecran-3;FABRICATION;Ionising radiation;124.1642372;223;Resilio;
Screen - High-end ProLite LE5041UHS-B1 OLED, 50 inch, 16/9;ecran-3;FABRICATION;Particulate matter and respiratory inorganics;124.1642372;0.000017;Resilio;
Screen - High-end ProLite LE5041UHS-B1 OLED, 50 inch, 16/9;ecran-3;DISTRIBUTION;Climate change;124.1642372;3.94;Resilio;
Screen - High-end ProLite LE5041UHS-B1 OLED, 50 inch, 16/9;ecran-3;DISTRIBUTION;Resource use (minerals and metals);124.1642372;0.00000014;Resilio;
Screen - High-end ProLite LE5041UHS-B1 OLED, 50 inch, 16/9;ecran-3;DISTRIBUTION;Acidification;124.1642372;0.137;Resilio;
Screen - High-end ProLite LE5041UHS-B1 OLED, 50 inch, 16/9;ecran-3;DISTRIBUTION;Ionising radiation;124.1642372;0.00808;Resilio;
Screen - High-end ProLite LE5041UHS-B1 OLED, 50 inch, 16/9;ecran-3;DISTRIBUTION;Particulate matter and respiratory inorganics;124.1642372;0.00000072;Resilio;
Screen - High-end ProLite LE5041UHS-B1 OLED, 50 inch, 16/9;ecran-3;UTILISATION;Climate change;124.1642372;;Resilio;
Screen - High-end ProLite LE5041UHS-B1 OLED, 50 inch, 16/9;ecran-3;UTILISATION;Resource use (minerals and metals);124.1642372;;Resilio;
Screen - High-end ProLite LE5041UHS-B1 OLED, 50 inch, 16/9;ecran-3;UTILISATION;Acidification;124.1642372;;Resilio;
Screen - High-end ProLite LE5041UHS-B1 OLED, 50 inch, 16/9;ecran-3;UTILISATION;Ionising radiation;124.1642372;;Resilio;
Screen - High-end ProLite LE5041UHS-B1 OLED, 50 inch, 16/9;ecran-3;UTILISATION;Particulate matter and respiratory inorganics;124.1642372;;Resilio;
Screen - High-end ProLite LE5041UHS-B1 OLED, 50 inch, 16/9;ecran-3;FIN_DE_VIE;Climate change;124.1642372;15.4;Resilio;
Screen - High-end ProLite LE5041UHS-B1 OLED, 50 inch, 16/9;ecran-3;FIN_DE_VIE;Resource use (minerals and metals);124.1642372;0.0000516;Resilio;
Screen - High-end ProLite LE5041UHS-B1 OLED, 50 inch, 16/9;ecran-3;FIN_DE_VIE;Acidification;124.1642372;0.0897;Resilio;
Screen - High-end ProLite LE5041UHS-B1 OLED, 50 inch, 16/9;ecran-3;FIN_DE_VIE;Ionising radiation;124.1642372;0.845;Resilio;
Screen - High-end ProLite LE5041UHS-B1 OLED, 50 inch, 16/9;ecran-3;FIN_DE_VIE;Particulate matter and respiratory inorganics;124.1642372;0.000000588;Resilio;
Rack server Dell PowerEdge R740 2 CPU Intel Xeon Gold 6154, 64GB RAM, 1TB SSD TLC  2,5'';serveur-rack-1;FABRICATION;Climate change;1598.627;738;Resilio;
Rack server Dell PowerEdge R740 2 CPU Intel Xeon Gold 6154, 64GB RAM, 1TB SSD TLC  2,5'';serveur-rack-1;FABRICATION;Resource use (minerals and metals);1598.627;0.11;Resilio;
Rack server Dell PowerEdge R740 2 CPU Intel Xeon Gold 6154, 64GB RAM, 1TB SSD TLC  2,5'';serveur-rack-1;FABRICATION;Acidification;1598.627;4.91;Resilio;
Rack server Dell PowerEdge R740 2 CPU Intel Xeon Gold 6154, 64GB RAM, 1TB SSD TLC  2,5'';serveur-rack-1;FABRICATION;Ionising radiation;1598.627;2700;Resilio;
Rack server Dell PowerEdge R740 2 CPU Intel Xeon Gold 6154, 64GB RAM, 1TB SSD TLC  2,5'';serveur-rack-1;FABRICATION;Particulate matter and respiratory inorganics;1598.627;0.000028;Resilio;
Rack server Dell PowerEdge R740 2 CPU Intel Xeon Gold 6154, 64GB RAM, 1TB SSD TLC  2,5'';serveur-rack-1;DISTRIBUTION;Climate change;1598.627;86.2;Resilio;
Rack server Dell PowerEdge R740 2 CPU Intel Xeon Gold 6154, 64GB RAM, 1TB SSD TLC  2,5'';serveur-rack-1;DISTRIBUTION;Resource use (minerals and metals);1598.627;0.00000327;Resilio;
Rack server Dell PowerEdge R740 2 CPU Intel Xeon Gold 6154, 64GB RAM, 1TB SSD TLC  2,5'';serveur-rack-1;DISTRIBUTION;Acidification;1598.627;0.379;Resilio;
Rack server Dell PowerEdge R740 2 CPU Intel Xeon Gold 6154, 64GB RAM, 1TB SSD TLC  2,5'';serveur-rack-1;DISTRIBUTION;Ionising radiation;1598.627;1.53;Resilio;
Rack server Dell PowerEdge R740 2 CPU Intel Xeon Gold 6154, 64GB RAM, 1TB SSD TLC  2,5'';serveur-rack-1;DISTRIBUTION;Particulate matter and respiratory inorganics;1598.627;0.00000232;Resilio;
Rack server Dell PowerEdge R740 2 CPU Intel Xeon Gold 6154, 64GB RAM, 1TB SSD TLC  2,5'';serveur-rack-1;UTILISATION;Climate change;1598.627;;Resilio;
Rack server Dell PowerEdge R740 2 CPU Intel Xeon Gold 6154, 64GB RAM, 1TB SSD TLC  2,5'';serveur-rack-1;UTILISATION;Resource use (minerals and metals);1598.627;;Resilio;
Rack server Dell PowerEdge R740 2 CPU Intel Xeon Gold 6154, 64GB RAM, 1TB SSD TLC  2,5'';serveur-rack-1;UTILISATION;Acidification;1598.627;;Resilio;
Rack server Dell PowerEdge R740 2 CPU Intel Xeon Gold 6154, 64GB RAM, 1TB SSD TLC  2,5'';serveur-rack-1;UTILISATION;Ionising radiation;1598.627;;Resilio;
Rack server Dell PowerEdge R740 2 CPU Intel Xeon Gold 6154, 64GB RAM, 1TB SSD TLC  2,5'';serveur-rack-1;UTILISATION;Particulate matter and respiratory inorganics;1598.627;;Resilio;
Rack server Dell PowerEdge R740 2 CPU Intel Xeon Gold 6154, 64GB RAM, 1TB SSD TLC  2,5'';serveur-rack-1;FIN_DE_VIE;Climate change;1598.627;15.3;Resilio;
Rack server Dell PowerEdge R740 2 CPU Intel Xeon Gold 6154, 64GB RAM, 1TB SSD TLC  2,5'';serveur-rack-1;FIN_DE_VIE;Resource use (minerals and metals);1598.627;0.0000248;Resilio;
Rack server Dell PowerEdge R740 2 CPU Intel Xeon Gold 6154, 64GB RAM, 1TB SSD TLC  2,5'';serveur-rack-1;FIN_DE_VIE;Acidification;1598.627;0.269;Resilio;
Rack server Dell PowerEdge R740 2 CPU Intel Xeon Gold 6154, 64GB RAM, 1TB SSD TLC  2,5'';serveur-rack-1;FIN_DE_VIE;Ionising radiation;1598.627;1.29;Resilio;
Rack server Dell PowerEdge R740 2 CPU Intel Xeon Gold 6154, 64GB RAM, 1TB SSD TLC  2,5'';serveur-rack-1;FIN_DE_VIE;Particulate matter and respiratory inorganics;1598.627;0.000000822;Resilio;
Storage Bay Lenovo ThinkSystem DE2000H 7Y71 24 disks, 1TB SSD TLC 2,5'' each;baie-stockage-1;FABRICATION;Climate change;883.1394;2730;Resilio;
Storage Bay Lenovo ThinkSystem DE2000H 7Y71 24 disks, 1TB SSD TLC 2,5'' each;baie-stockage-1;FABRICATION;Resource use (minerals and metals);883.1394;0.0329;Resilio;
Storage Bay Lenovo ThinkSystem DE2000H 7Y71 24 disks, 1TB SSD TLC 2,5'' each;baie-stockage-1;FABRICATION;Acidification;883.1394;15.4;Resilio;
Storage Bay Lenovo ThinkSystem DE2000H 7Y71 24 disks, 1TB SSD TLC 2,5'' each;baie-stockage-1;FABRICATION;Ionising radiation;883.1394;2440;Resilio;
Storage Bay Lenovo ThinkSystem DE2000H 7Y71 24 disks, 1TB SSD TLC 2,5'' each;baie-stockage-1;FABRICATION;Particulate matter and respiratory inorganics;883.1394;0.0000846;Resilio;
Storage Bay Lenovo ThinkSystem DE2000H 7Y71 24 disks, 1TB SSD TLC 2,5'' each;baie-stockage-1;DISTRIBUTION;Climate change;883.1394;211;Resilio;
Storage Bay Lenovo ThinkSystem DE2000H 7Y71 24 disks, 1TB SSD TLC 2,5'' each;baie-stockage-1;DISTRIBUTION;Resource use (minerals and metals);883.1394;0.00000801;Resilio;
Storage Bay Lenovo ThinkSystem DE2000H 7Y71 24 disks, 1TB SSD TLC 2,5'' each;baie-stockage-1;DISTRIBUTION;Acidification;883.1394;0.928;Resilio;
Storage Bay Lenovo ThinkSystem DE2000H 7Y71 24 disks, 1TB SSD TLC 2,5'' each;baie-stockage-1;DISTRIBUTION;Ionising radiation;883.1394;3.76;Resilio;
Storage Bay Lenovo ThinkSystem DE2000H 7Y71 24 disks, 1TB SSD TLC 2,5'' each;baie-stockage-1;DISTRIBUTION;Particulate matter and respiratory inorganics;883.1394;0.00000568;Resilio;
Storage Bay Lenovo ThinkSystem DE2000H 7Y71 24 disks, 1TB SSD TLC 2,5'' each;baie-stockage-1;UTILISATION;Climate change;883.1394;;Resilio;
Storage Bay Lenovo ThinkSystem DE2000H 7Y71 24 disks, 1TB SSD TLC 2,5'' each;baie-stockage-1;UTILISATION;Resource use (minerals and metals);883.1394;;Resilio;
Storage Bay Lenovo ThinkSystem DE2000H 7Y71 24 disks, 1TB SSD TLC 2,5'' each;baie-stockage-1;UTILISATION;Acidification;883.1394;;Resilio;
Storage Bay Lenovo ThinkSystem DE2000H 7Y71 24 disks, 1TB SSD TLC 2,5'' each;baie-stockage-1;UTILISATION;Ionising radiation;883.1394;;Resilio;
Storage Bay Lenovo ThinkSystem DE2000H 7Y71 24 disks, 1TB SSD TLC 2,5'' each;baie-stockage-1;UTILISATION;Particulate matter and respiratory inorganics;883.1394;;Resilio;
Storage Bay Lenovo ThinkSystem DE2000H 7Y71 24 disks, 1TB SSD TLC 2,5'' each;baie-stockage-1;FIN_DE_VIE;Climate change;883.1394;30.1;Resilio;
Storage Bay Lenovo ThinkSystem DE2000H 7Y71 24 disks, 1TB SSD TLC 2,5'' each;baie-stockage-1;FIN_DE_VIE;Resource use (minerals and metals);883.1394;0.0000932;Resilio;
Storage Bay Lenovo ThinkSystem DE2000H 7Y71 24 disks, 1TB SSD TLC 2,5'' each;baie-stockage-1;FIN_DE_VIE;Acidification;883.1394;0.283;Resilio;
Storage Bay Lenovo ThinkSystem DE2000H 7Y71 24 disks, 1TB SSD TLC 2,5'' each;baie-stockage-1;FIN_DE_VIE;Ionising radiation;883.1394;2.57;Resilio;
Storage Bay Lenovo ThinkSystem DE2000H 7Y71 24 disks, 1TB SSD TLC 2,5'' each;baie-stockage-1;FIN_DE_VIE;Particulate matter and respiratory inorganics;883.1394;0.00000154;Resilio;
NAS Bay TS-h3077AFU-R7-64G Server with 1 CPU AMD Ryzen 7 7700, 64GB RAM, 15 disk SSD 1TB 2,5'';baie-nas-1;FABRICATION;Climate change;2579.455;2170;Resilio;
NAS Bay TS-h3077AFU-R7-64G Server with 1 CPU AMD Ryzen 7 7700, 64GB RAM, 15 disk SSD 1TB 2,5'';baie-nas-1;FABRICATION;Resource use (minerals and metals);2579.455;0.122;Resilio;
NAS Bay TS-h3077AFU-R7-64G Server with 1 CPU AMD Ryzen 7 7700, 64GB RAM, 15 disk SSD 1TB 2,5'';baie-nas-1;FABRICATION;Acidification;2579.455;12.9;Resilio;
NAS Bay TS-h3077AFU-R7-64G Server with 1 CPU AMD Ryzen 7 7700, 64GB RAM, 15 disk SSD 1TB 2,5'';baie-nas-1;FABRICATION;Ionising radiation;2579.455;2800;Resilio;
NAS Bay TS-h3077AFU-R7-64G Server with 1 CPU AMD Ryzen 7 7700, 64GB RAM, 15 disk SSD 1TB 2,5'';baie-nas-1;FABRICATION;Particulate matter and respiratory inorganics;2579.455;0.000072;Resilio;
NAS Bay TS-h3077AFU-R7-64G Server with 1 CPU AMD Ryzen 7 7700, 64GB RAM, 15 disk SSD 1TB 2,5'';baie-nas-1;DISTRIBUTION;Climate change;2579.455;89.9;Resilio;
NAS Bay TS-h3077AFU-R7-64G Server with 1 CPU AMD Ryzen 7 7700, 64GB RAM, 15 disk SSD 1TB 2,5'';baie-nas-1;DISTRIBUTION;Resource use (minerals and metals);2579.455;0.00000341;Resilio;
NAS Bay TS-h3077AFU-R7-64G Server with 1 CPU AMD Ryzen 7 7700, 64GB RAM, 15 disk SSD 1TB 2,5'';baie-nas-1;DISTRIBUTION;Acidification;2579.455;0.395;Resilio;
NAS Bay TS-h3077AFU-R7-64G Server with 1 CPU AMD Ryzen 7 7700, 64GB RAM, 15 disk SSD 1TB 2,5'';baie-nas-1;DISTRIBUTION;Ionising radiation;2579.455;1.6;Resilio;
NAS Bay TS-h3077AFU-R7-64G Server with 1 CPU AMD Ryzen 7 7700, 64GB RAM, 15 disk SSD 1TB 2,5'';baie-nas-1;DISTRIBUTION;Particulate matter and respiratory inorganics;2579.455;0.00000242;Resilio;
NAS Bay TS-h3077AFU-R7-64G Server with 1 CPU AMD Ryzen 7 7700, 64GB RAM, 15 disk SSD 1TB 2,5'';baie-nas-1;UTILISATION;Climate change;2579.455;;Resilio;
NAS Bay TS-h3077AFU-R7-64G Server with 1 CPU AMD Ryzen 7 7700, 64GB RAM, 15 disk SSD 1TB 2,5'';baie-nas-1;UTILISATION;Resource use (minerals and metals);2579.455;;Resilio;
NAS Bay TS-h3077AFU-R7-64G Server with 1 CPU AMD Ryzen 7 7700, 64GB RAM, 15 disk SSD 1TB 2,5'';baie-nas-1;UTILISATION;Acidification;2579.455;;Resilio;
NAS Bay TS-h3077AFU-R7-64G Server with 1 CPU AMD Ryzen 7 7700, 64GB RAM, 15 disk SSD 1TB 2,5'';baie-nas-1;UTILISATION;Ionising radiation;2579.455;;Resilio;
NAS Bay TS-h3077AFU-R7-64G Server with 1 CPU AMD Ryzen 7 7700, 64GB RAM, 15 disk SSD 1TB 2,5'';baie-nas-1;UTILISATION;Particulate matter and respiratory inorganics;2579.455;;Resilio;
NAS Bay TS-h3077AFU-R7-64G Server with 1 CPU AMD Ryzen 7 7700, 64GB RAM, 15 disk SSD 1TB 2,5'';baie-nas-1;FIN_DE_VIE;Climate change;2579.455;16.2;Resilio;
NAS Bay TS-h3077AFU-R7-64G Server with 1 CPU AMD Ryzen 7 7700, 64GB RAM, 15 disk SSD 1TB 2,5'';baie-nas-1;FIN_DE_VIE;Resource use (minerals and metals);2579.455;0.0000249;Resilio;
NAS Bay TS-h3077AFU-R7-64G Server with 1 CPU AMD Ryzen 7 7700, 64GB RAM, 15 disk SSD 1TB 2,5'';baie-nas-1;FIN_DE_VIE;Acidification;2579.455;0.291;Resilio;
NAS Bay TS-h3077AFU-R7-64G Server with 1 CPU AMD Ryzen 7 7700, 64GB RAM, 15 disk SSD 1TB 2,5'';baie-nas-1;FIN_DE_VIE;Ionising radiation;2579.455;1.35;Resilio;
NAS Bay TS-h3077AFU-R7-64G Server with 1 CPU AMD Ryzen 7 7700, 64GB RAM, 15 disk SSD 1TB 2,5'';baie-nas-1;FIN_DE_VIE;Particulate matter and respiratory inorganics;2579.455;0.00000087;Resilio;
Switch Cisco CBS110-24T 8GB RAM, 1 CPU Intel Celeron J4105;commutateur-1;FABRICATION;Climate change;785.6625;181;Resilio;
Switch Cisco CBS110-24T 8GB RAM, 1 CPU Intel Celeron J4105;commutateur-1;FABRICATION;Resource use (minerals and metals);785.6625;0.0605;Resilio;
Switch Cisco CBS110-24T 8GB RAM, 1 CPU Intel Celeron J4105;commutateur-1;FABRICATION;Acidification;785.6625;1.36;Resilio;
Switch Cisco CBS110-24T 8GB RAM, 1 CPU Intel Celeron J4105;commutateur-1;FABRICATION;Ionising radiation;785.6625;531;Resilio;
Switch Cisco CBS110-24T 8GB RAM, 1 CPU Intel Celeron J4105;commutateur-1;FABRICATION;Particulate matter and respiratory inorganics;785.6625;0.00000839;Resilio;
Switch Cisco CBS110-24T 8GB RAM, 1 CPU Intel Celeron J4105;commutateur-1;DISTRIBUTION;Climate change;785.6625;23.5;Resilio;
Switch Cisco CBS110-24T 8GB RAM, 1 CPU Intel Celeron J4105;commutateur-1;DISTRIBUTION;Resource use (minerals and metals);785.6625;0.000000893;Resilio;
Switch Cisco CBS110-24T 8GB RAM, 1 CPU Intel Celeron J4105;commutateur-1;DISTRIBUTION;Acidification;785.6625;0.103;Resilio;
Switch Cisco CBS110-24T 8GB RAM, 1 CPU Intel Celeron J4105;commutateur-1;DISTRIBUTION;Ionising radiation;785.6625;0.419;Resilio;
Switch Cisco CBS110-24T 8GB RAM, 1 CPU Intel Celeron J4105;commutateur-1;DISTRIBUTION;Particulate matter and respiratory inorganics;785.6625;0.000000633;Resilio;
Switch Cisco CBS110-24T 8GB RAM, 1 CPU Intel Celeron J4105;commutateur-1;UTILISATION;Climate change;785.6625;;Resilio;
Switch Cisco CBS110-24T 8GB RAM, 1 CPU Intel Celeron J4105;commutateur-1;UTILISATION;Resource use (minerals and metals);785.6625;;Resilio;
Switch Cisco CBS110-24T 8GB RAM, 1 CPU Intel Celeron J4105;commutateur-1;UTILISATION;Acidification;785.6625;;Resilio;
Switch Cisco CBS110-24T 8GB RAM, 1 CPU Intel Celeron J4105;commutateur-1;UTILISATION;Ionising radiation;785.6625;;Resilio;
Switch Cisco CBS110-24T 8GB RAM, 1 CPU Intel Celeron J4105;commutateur-1;UTILISATION;Particulate matter and respiratory inorganics;785.6625;;Resilio;
Switch Cisco CBS110-24T 8GB RAM, 1 CPU Intel Celeron J4105;commutateur-1;FIN_DE_VIE;Climate change;785.6625;4.14;Resilio;
Switch Cisco CBS110-24T 8GB RAM, 1 CPU Intel Celeron J4105;commutateur-1;FIN_DE_VIE;Resource use (minerals and metals);785.6625;0.00000706;Resilio;
Switch Cisco CBS110-24T 8GB RAM, 1 CPU Intel Celeron J4105;commutateur-1;FIN_DE_VIE;Acidification;785.6625;0.0694;Resilio;
Switch Cisco CBS110-24T 8GB RAM, 1 CPU Intel Celeron J4105;commutateur-1;FIN_DE_VIE;Ionising radiation;785.6625;0.334;Resilio;
Switch Cisco CBS110-24T 8GB RAM, 1 CPU Intel Celeron J4105;commutateur-1;FIN_DE_VIE;Particulate matter and respiratory inorganics;785.6625;0.000000218;Resilio;
